,branchid,branchname,siteid,tenkho,class,invtid,tensanpham,tenspviettat,stkunit,quycachdonggoi,quycachthung,lotsernbr,expdate,sothangconlai,tondau,nhapmuahang,"nhapkhacnhap,chuyen,dieuchinh",xuatban,nhaptra,"xuatkhacxuat,chuyen,dieuchinh",dcbbxuat,dcbbnhap,toncuoi,sltreohoadonao,sltreochuataohoadon,toncuoisosach,giaban,tttoncuoi
10,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH084,Xisat XP Xanh 75ml,XIS-XPX,Hộp,Nước biển sâu,(60hộp/thùng),0031221,2023-12-29,,2252.0,0.0,0.0,-119.0,0.0,0.0,0.0,0.0,2133.0,-290.0,-5.0,1838.0,0.0,0.0
11,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH085,Xisat XP Hong 75ml,XIS-XPH,Hộp,Nước biển sâu,(60hộp/thùng),0041221,2023-12-08,,371.0,0.0,0.0,-31.0,0.0,0.0,0.0,0.0,340.0,-119.0,0.0,221.0,0.0,0.0
12,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH086,Benita,BNT,Hộp,"Mỗi liều 0,05ml chứa  Budesonid 64mcg",(200hộp/thùng),0010122,2024-01-12,,6557.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,6527.0,-11.0,-115.0,6401.0,0.0,0.0
13,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH086,Benita,BNT,Hộp,"Mỗi liều 0,05ml chứa  Budesonid 64mcg",(200hộp/thùng),0161221,2023-12-01,,8.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH086,Benita,BNT,Hộp,"Mỗi liều 0,05ml chứa  Budesonid 64mcg",(200hộp/thùng),0171221,2023-12-02,,4100.0,0.0,0.0,-476.0,0.0,0.0,0.0,0.0,3624.0,-94.0,-198.0,3332.0,0.0,0.0
15,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH087,Meseca,MSC,Hộp,"Mỗi liều 0,05ml chứa  Fluticason propionat 50 mcg",(200hộp/thùng),0121121,2024-11-29,,7218.0,0.0,0.0,-775.0,0.0,0.0,0.0,0.0,6443.0,-128.0,-400.0,5915.0,0.0,0.0
16,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH088,Metodex sps 5ml,MTD-SPS,Hộp,Mỗi lọ 5ml chứa:  Tobramycin 15mg Dexamethason 5mg,(300hộp/thùng),0020921,2023-09-12,,1242.0,0.0,0.0,-46.0,0.0,0.0,0.0,0.0,1196.0,0.0,0.0,1196.0,0.0,0.0
17,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH089,Benate fort ointment,BNT-FNM,Hộp,"Clobetasol propionat 0,05%",(400hộp/thùng),0010122,2025-01-16,,1365.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,1361.0,0.0,-28.0,1333.0,0.0,0.0
18,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH089,Benate fort ointment,BNT-FNM,Hộp,"Clobetasol propionat 0,05%",(400hộp/thùng),0020721,2024-07-04,,148.0,0.0,0.0,-85.0,0.0,0.0,0.0,0.0,63.0,-12.0,0.0,51.0,0.0,0.0
19,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH091,Syseye 10ml,SSE,Hộp,Mỗi lọ 10ml chứa:  Hydroxypropyl methylcellulose 30mg,(300hộp/thùng),0091121,2023-11-08,,239.0,0.0,0.0,-134.0,0.0,0.0,0.0,0.0,105.0,-30.0,-56.0,19.0,0.0,0.0
20,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH091,Syseye 10ml,SSE,Hộp,Mỗi lọ 10ml chứa:  Hydroxypropyl methylcellulose 30mg,(300hộp/thùng),0101221,2023-12-05,,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,9000.0,0.0,0.0
21,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH092,Medoral 250ml,MDR,Hộp,Chlorhexidin digluconat 0.2%,(50hộp/thùng),0030122,2024-01-09,,77.0,0.0,0.0,-66.0,0.0,0.0,0.0,0.0,11.0,-11.0,0.0,0.0,0.0,0.0
22,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH092,Medoral 250ml,MDR,Hộp,Chlorhexidin digluconat 0.2%,(50hộp/thùng),0220222,2024-02-08,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,-22.0,0.0,0.0,0.0,0.0
23,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH092,Medoral 250ml,MDR,Hộp,Chlorhexidin digluconat 0.2%,(50hộp/thùng),0230222,2024-02-08,,58.0,0.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH092,Medoral 250ml,MDR,Hộp,Chlorhexidin digluconat 0.2%,(50hộp/thùng),0250222,2024-02-09,,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH092,Medoral 250ml,MDR,Hộp,Chlorhexidin digluconat 0.2%,(50hộp/thùng),0270222,2024-02-10,,641.0,0.0,0.0,-633.0,0.0,0.0,0.0,0.0,8.0,-5.0,0.0,3.0,0.0,0.0
26,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH093,Efodyl 250mg,EFD250,Hộp,Cefuroxim acetil,(160hộp/thùng),0010521,2024-11-16,,235.0,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,213.0,-17.0,0.0,196.0,0.0,0.0
27,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH094,Meclonate,MCN,Hộp,Hỗn dịch xịt mũi,(200hộp/thùng),0030621,2024-06-20,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
28,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH094,Meclonate,MCN,Hộp,Hỗn dịch xịt mũi,(200hộp/thùng),0040721,2024-07-11,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0
29,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH094,Meclonate,MCN,Hộp,Hỗn dịch xịt mũi,(200hộp/thùng),0051221,2024-12-08,,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,1100.0,0.0,0.0
30,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH094,Meclonate,MCN,Hộp,Hỗn dịch xịt mũi,(200hộp/thùng),0071220,2023-12-15,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0
31,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH095,Metiny 375mg,MTN375,Hộp,Cefaclor (dưới dạng Cefaclor monohydrat 375mg),(160hộp/thùng),0030721,2023-07-11,,4116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.0,0.0,0.0,4116.0,0.0,0.0
32,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH096,Efodyl 125mg,EFD125,Hộp,Cefuroxim 125mg,(102hộp/thùng),0030321,2023-09-29,,1026.0,0.0,0.0,-24.0,0.0,0.0,0.0,0.0,1002.0,-17.0,-12.0,973.0,0.0,0.0
33,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH097,Olevid 5ml,OLV,Hộp,Mỗi 1 ml chứa:  Olopatadin (dưới dạng Olopatadin Hydroclorid) 2mg,(300hộp/thùng),0010122,2024-01-02,,2827.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,2797.0,0.0,0.0,2797.0,0.0,0.0
34,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH099,Vedanal Fort,VDNF10,Hộp,"Acid fusidic,Hydrocortison acetat",(400hộp/thùng),0010122,2025-01-12,,5182.0,0.0,0.0,-26.0,0.0,0.0,0.0,0.0,5156.0,0.0,-2.0,5154.0,0.0,0.0
35,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH099,Vedanal Fort,VDNF10,Hộp,"Acid fusidic,Hydrocortison acetat",(400hộp/thùng),0040721,2024-07-06,,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,324.0,0.0,0.0
36,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH100,Efodyl 250mg (Gói),EFD250G,Hộp,Cefuroxime,(96hộp/thùng),0030421,2023-09-30,,168.0,0.0,0.0,-24.0,0.0,0.0,0.0,0.0,144.0,-17.0,-36.0,91.0,0.0,0.0
37,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH101,Vitol 0.18%,VTL18,Hộp,Natri Hyaluronat 18mg,(300hộp/thùng),0020620,2023-06-03,,294.0,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,272.0,0.0,0.0
38,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH101,Vitol 0.18%,VTL18,Hộp,Natri Hyaluronat 18mg,(300hộp/thùng),0030620,2023-06-03,,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0
39,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH102,Medoral 125ml,MDR125,Hộp,Chlorhexidin digluconat 0.25g,(80hộp/thùng),0010222,2024-02-27,,1594.0,0.0,0.0,-1070.0,0.0,0.0,0.0,0.0,524.0,-484.0,0.0,40.0,0.0,0.0
40,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH103,Cebest 200mg,CBT200,Hộp,Cefpodoxim (dưới dạng Cefpodoxim Proxetil) 200 mg,(160hộp/thùng),0041121,2024-11-14,,705.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0
41,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH104,Cebest 100mg,CBT100,Hộp,Cefpodoxim (dưới dạng Cefpodoxim Proxetil) 100 mg,(200hộp/thùng),0020821,2024-08-15,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0
42,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH105,Etobat 10ml,ETB10,Hộp,Mỗi 10 ml chứa: Docusat natri 50mg,(300hộp/thùng),0021121,2023-11-10,,1249.0,0.0,0.0,-366.0,0.0,0.0,0.0,0.0,883.0,0.0,0.0,883.0,0.0,0.0
43,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH106,Cebest 100 Gói,CBT100G,Hộp,Mỗi 3g chứa: Cefpodoxim (dưới dạng Cefpodoxim proxetil) 100mg,(96hộp/thùng),0070621,2023-12-07,,722.0,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,700.0,-11.0,-12.0,677.0,0.0,0.0
44,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH106,Cebest 100 Gói,CBT100G,Hộp,Mỗi 3g chứa: Cefpodoxim (dưới dạng Cefpodoxim proxetil) 100mg,(96hộp/thùng),0080621,2023-12-08,,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,0.0,768.0,0.0,0.0
45,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH107,Stomex,STO20MR,Hộp,Omeprazole (dưới dạng vi hạt bao tan trong ruột) 20 mg,(180hộp/thùng),81002,2024-10-27,,717.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,712.0,-1.0,0.0,711.0,0.0,0.0
46,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH107,Stomex,STO20MR,Hộp,Omeprazole (dưới dạng vi hạt bao tan trong ruột) 20 mg,(180hộp/thùng),82026,2025-01-06,,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,1080.0,0.0,0.0
47,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH108,Meseca Fort,MSCF,Hộp,"Mỗi liều 0,137 ml chứa; Azelastin hydroclorid 0,137 mg; Fluticason propionat 0,05 mg",(200hộp/thùng),0071221,2023-12-23,,1108.0,600.0,0.0,-82.0,0.0,0.0,0.0,0.0,1626.0,0.0,-266.0,1360.0,0.0,0.0
48,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH109,Cebest 50 Gói,CBT50G,Hộp,"Mỗi 1,5 g chứa: Cefpodoxim (dưới dạng Cefpodoxim proxetil) 50mg",(102hộp/thùng),0020321,2023-09-04,,1758.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0
49,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH109,Cebest 50 Gói,CBT50G,Hộp,"Mỗi 1,5 g chứa: Cefpodoxim (dưới dạng Cefpodoxim proxetil) 50mg",(102hộp/thùng),0030421,2023-10-13,,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.0,0.0,562.0,0.0,0.0
50,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH109,Cebest 50 Gói,CBT50G,Hộp,"Mỗi 1,5 g chứa: Cefpodoxim (dưới dạng Cefpodoxim proxetil) 50mg",(102hộp/thùng),0040521,2023-11-04,,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,0.0,0.0,744.0,0.0,0.0
51,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH110,Metoxa 10ml,MTX10,Hộp,Mỗi 10 ml chứa: Rifamycin (dưới dạng Rifamycin natri) 200.000IU,(216hộp/thùng),0010122,2024-01-11,,67.0,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,44.0,-10.0,0.0,34.0,0.0,0.0
52,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH111,Aquima,AQM10,Hộp,(20gói/hộp),(50hộp/thùng),0070122,2025-01-23,,406.0,0.0,0.0,-247.0,0.0,0.0,0.0,0.0,159.0,-70.0,-30.0,59.0,0.0,0.0
53,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH111,Aquima,AQM10,Hộp,(20gói/hộp),(50hộp/thùng),0080122,2025-01-25,,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,0.0,2150.0,0.0,0.0
54,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH111,Aquima,AQM10,Hộp,(20gói/hộp),(50hộp/thùng),0090222,2025-02-18,,350.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,0.0,0.0,2350.0,0.0,0.0
55,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH111,Aquima,AQM10,Hộp,(20gói/hộp),(50hộp/thùng),0100222,2025-02-20,,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0
56,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH112,Syseye 15ml,SSE15,Hộp,Mỗi 10 ml chứa; Hydroxypropyl methylcellulose 30mg,(480hộp/thùng),0020122,2024-01-26,,8724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8724.0,0.0,0.0,8724.0,0.0,0.0
57,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH112,Syseye 15ml,SSE15,Hộp,Mỗi 10 ml chứa; Hydroxypropyl methylcellulose 30mg,(480hộp/thùng),0030222,2024-02-08,,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,7200.0,0.0,0.0
58,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH112,Syseye 15ml,SSE15,Hộp,Mỗi 10 ml chứa; Hydroxypropyl methylcellulose 30mg,(480hộp/thùng),0150721,2023-07-26,,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,0.0
59,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH113,Scofi 10ml,SCF10,Hộp,Mỗi 10 ml hỗn dịch chứa; Neomycin sulfat 35.000IU; Polymycin B sulfat 60.000IU; Dexamethason 10mg,(300hộp/thùng),0020122,2024-07-21,,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,1200.0,0.0,0.0
60,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH113,Scofi 10ml,SCF10,Hộp,Mỗi 10 ml hỗn dịch chứa; Neomycin sulfat 35.000IU; Polymycin B sulfat 60.000IU; Dexamethason 10mg,(300hộp/thùng),0070521,2023-11-02,,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,253.0,0.0,0.0
61,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH113,Scofi 10ml,SCF10,Hộp,Mỗi 10 ml hỗn dịch chứa; Neomycin sulfat 35.000IU; Polymycin B sulfat 60.000IU; Dexamethason 10mg,(300hộp/thùng),0121121,2024-05-10,,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,124.0,0.0,0.0
62,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH114,Fiora,FOR,Hộp,"Mỗi viên chứa; Sắt Hydroxyd polymaltose complex 178,5mg; Acid folic 0,175mg; Pyridoxin HCl 1mg",(240hộp/thùng),20003,2023-05-29,,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,353.0,0.0,0.0
63,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH115,Ebysta 10ml gói,EBS10,Hộp,Mỗi 10 ml hỗn dịch chứa; Sodium alginate 500mg; Calcium Carbonate 160mg; Sodium bicarbonate 267mg,(60hộp/thùng),0050122,2024-01-06,,1167.0,0.0,0.0,-304.0,0.0,0.0,0.0,0.0,863.0,-143.0,-158.0,562.0,0.0,0.0
64,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH115,Ebysta 10ml gói,EBS10,Hộp,Mỗi 10 ml hỗn dịch chứa; Sodium alginate 500mg; Calcium Carbonate 160mg; Sodium bicarbonate 267mg,(60hộp/thùng),0060222,2024-02-11,,5564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5564.0,0.0,0.0,5564.0,0.0,0.0
65,MR0001,CÔNG TY CỔ PHẦN DƯỢC PHA NAM,WH0001,Kho bán hàng Dược Pha Nam,Sản Phẩm Bán,EH115,Ebysta 10ml gói,EBS10,Hộp,Mỗi 10 ml hỗn dịch chứa; Sodium alginate 500mg; Calcium Carbonate 160mg; Sodium bicarbonate 267mg,(60hộp/thùng),0070222,2024-02-13,,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0,-3000.0,0.0,4400.0,0.0,0.0
