masanpham,tensanpham,donvi,chinhanh,songaynhan,tonao,tonhangdiduong,toncn,tonhcm,tonmerap,tonvime
EH067,Mecefix-B.E 75mg,HOP,KH,5.0,-10.0,0.0,461.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,NA,2.0,0.0,0.0,219.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,CT,7.0,-2.0,0.0,61.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,DNAI,6.0,-20.0,320.0,204.0,160.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,DNANG,5.0,0.0,0.0,348.0,1249.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,HCM,6.0,-10.0,0.0,667.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,HN,1.0,0.0,0.0,92.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,KH,5.0,0.0,0.0,30.0,160.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,NA,2.0,0.0,0.0,171.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,CT,7.0,0.0,480.0,195.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,DNAI,6.0,-15.0,320.0,558.0,50.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,DNANG,5.0,0.0,0.0,421.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,HCM,6.0,0.0,0.0,602.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,HN,1.0,0.0,0.0,171.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,KH,5.0,0.0,0.0,59.0,120.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,NA,2.0,0.0,0.0,75.0,0.0,0.0,0.0
EH070,Efodyl 500mg,HOP,CT,7.0,0.0,160.0,180.0,0.0,0.0,0.0
EH070,Efodyl 500mg,HOP,DNAI,6.0,-12.0,800.0,260.0,50.0,0.0,0.0
EH070,Efodyl 500mg,HOP,DNANG,5.0,0.0,0.0,718.0,0.0,0.0,0.0
EH070,Efodyl 500mg,HOP,HCM,6.0,-15.0,0.0,1141.0,0.0,0.0,0.0
EH070,Efodyl 500mg,HOP,HN,1.0,0.0,0.0,281.0,0.0,0.0,0.0
EH070,Efodyl 500mg,HOP,KH,5.0,0.0,0.0,324.0,0.0,0.0,0.0
EH070,Efodyl 500mg,HOP,NA,2.0,-2.0,0.0,281.0,0.0,0.0,0.0
EH072,Meceta 500mg,HOP,CT,7.0,-40.0,0.0,777.0,0.0,0.0,0.0
EH072,Meceta 500mg,HOP,DNAI,6.0,-20.0,480.0,229.0,0.0,0.0,0.0
EH072,Meceta 500mg,HOP,DNANG,5.0,-24.0,0.0,217.0,0.0,0.0,0.0
EH072,Meceta 500mg,HOP,HCM,6.0,-5.0,0.0,802.0,0.0,0.0,0.0
EH072,Meceta 500mg,HOP,HN,1.0,-180.0,0.0,258.0,0.0,0.0,0.0
EH072,Meceta 500mg,HOP,KH,5.0,-10.0,0.0,84.0,0.0,0.0,0.0
EH072,Meceta 500mg,HOP,NA,2.0,0.0,0.0,66.0,0.0,0.0,0.0
EH074,Metodex 5ml,HOP,CT,7.0,-69.0,0.0,1179.0,0.0,0.0,0.0
EH074,Metodex 5ml,HOP,DNAI,6.0,-52.0,900.0,2116.0,0.0,0.0,0.0
EH074,Metodex 5ml,HOP,DNANG,5.0,-31.0,0.0,844.0,0.0,0.0,0.0
EH074,Metodex 5ml,HOP,HCM,6.0,-82.0,0.0,1820.0,0.0,0.0,0.0
EH074,Metodex 5ml,HOP,HN,1.0,-100.0,0.0,805.0,0.0,0.0,0.0
EH074,Metodex 5ml,HOP,KH,5.0,-20.0,0.0,1134.0,0.0,0.0,0.0
EH074,Metodex 5ml,HOP,NA,2.0,-10.0,0.0,345.0,0.0,0.0,0.0
EH083,Mecefix-B.E 400mg,HOP,CT,7.0,0.0,31.0,0.0,0.0,0.0,0.0
EH083,Mecefix-B.E 400mg,HOP,NA,2.0,0.0,0.0,10.0,0.0,0.0,0.0
EH084,Xisat XP Xanh 75ml,HOP,CT,7.0,-35.0,0.0,656.0,0.0,0.0,0.0
EH084,Xisat XP Xanh 75ml,HOP,DNAI,6.0,-62.0,0.0,259.0,0.0,0.0,0.0
EH084,Xisat XP Xanh 75ml,HOP,DNANG,5.0,0.0,0.0,455.0,0.0,0.0,0.0
EH084,Xisat XP Xanh 75ml,HOP,HCM,6.0,-156.0,0.0,1473.0,0.0,0.0,0.0
EH084,Xisat XP Xanh 75ml,HOP,HN,1.0,0.0,0.0,52.0,0.0,0.0,0.0
EH084,Xisat XP Xanh 75ml,HOP,KH,5.0,0.0,0.0,302.0,0.0,0.0,0.0
EH084,Xisat XP Xanh 75ml,HOP,NA,2.0,-20.0,0.0,20.0,0.0,0.0,0.0
EH085,Xisat XP Hong 75ml,HOP,CT,7.0,-15.0,0.0,131.0,0.0,0.0,0.0
EH085,Xisat XP Hong 75ml,HOP,DNAI,6.0,-33.0,0.0,139.0,0.0,0.0,0.0
EH085,Xisat XP Hong 75ml,HOP,DNANG,5.0,0.0,0.0,135.0,0.0,0.0,0.0
EH085,Xisat XP Hong 75ml,HOP,HCM,6.0,0.0,0.0,0.0,0.0,0.0,0.0
EH085,Xisat XP Hong 75ml,HOP,HN,1.0,0.0,0.0,61.0,0.0,0.0,0.0
EH085,Xisat XP Hong 75ml,HOP,KH,5.0,0.0,0.0,162.0,0.0,0.0,0.0
EH085,Xisat XP Hong 75ml,HOP,NA,2.0,-20.0,0.0,86.0,0.0,0.0,0.0
EH086,Benita,HOP,CT,7.0,-92.0,2000.0,1442.0,2630.0,0.0,0.0
EH086,Benita,HOP,DNAI,6.0,-154.0,1000.0,2968.0,1789.0,0.0,0.0
EH086,Benita,HOP,DNANG,5.0,-149.0,0.0,3239.0,1089.0,0.0,0.0
EH086,Benita,HOP,HCM,6.0,-824.0,0.0,13239.0,0.0,0.0,0.0
EH086,Benita,HOP,HN,1.0,-489.0,0.0,2369.0,1716.0,0.0,0.0
EH086,Benita,HOP,KH,5.0,-135.0,5000.0,990.0,175.0,0.0,0.0
EH086,Benita,HOP,NA,2.0,0.0,0.0,1794.0,1135.0,0.0,0.0
EH087,Meseca,HOP,CT,7.0,-581.0,2000.0,1044.0,3130.0,0.0,0.0
EH087,Meseca,HOP,DNAI,6.0,-149.0,3000.0,1340.0,2680.0,0.0,0.0
EH087,Meseca,HOP,DNANG,5.0,-15.0,0.0,1565.0,1509.0,0.0,0.0
EH087,Meseca,HOP,HCM,6.0,-127.0,0.0,8569.0,0.0,0.0,0.0
EH087,Meseca,HOP,HN,1.0,-75.0,0.0,2005.0,972.0,0.0,0.0
EH087,Meseca,HOP,KH,5.0,-32.0,0.0,2475.0,615.0,0.0,0.0
EH087,Meseca,HOP,NA,2.0,-30.0,0.0,1239.0,950.0,0.0,0.0
EH088,Metodex sps 5ml,HOP,CT,7.0,-35.0,0.0,633.0,0.0,0.0,0.0
EH088,Metodex sps 5ml,HOP,DNAI,6.0,-35.0,0.0,1186.0,0.0,0.0,0.0
EH088,Metodex sps 5ml,HOP,DNANG,5.0,-5.0,0.0,294.0,175.0,0.0,0.0
EH088,Metodex sps 5ml,HOP,HCM,6.0,-10.0,0.0,1276.0,0.0,0.0,0.0
EH088,Metodex sps 5ml,HOP,HN,1.0,-20.0,0.0,224.0,0.0,0.0,0.0
EH088,Metodex sps 5ml,HOP,KH,5.0,0.0,0.0,1061.0,0.0,0.0,0.0
EH088,Metodex sps 5ml,HOP,NA,2.0,0.0,0.0,152.0,0.0,0.0,0.0
EH089,Benate fort ointment,HOP,CT,7.0,0.0,0.0,1620.0,0.0,0.0,0.0
EH089,Benate fort ointment,HOP,DNAI,6.0,-20.0,400.0,1854.0,50.0,0.0,0.0
EH089,Benate fort ointment,HOP,DNANG,5.0,-10.0,0.0,1176.0,0.0,0.0,0.0
EH089,Benate fort ointment,HOP,HCM,6.0,-20.0,0.0,1335.0,0.0,0.0,0.0
EH089,Benate fort ointment,HOP,HN,1.0,-20.0,0.0,836.0,91.0,0.0,0.0
EH089,Benate fort ointment,HOP,KH,5.0,-10.0,0.0,694.0,0.0,0.0,0.0
EH089,Benate fort ointment,HOP,NA,2.0,-10.0,0.0,578.0,0.0,0.0,0.0
EH091,Syseye 10ml,HOP,CT,7.0,-55.0,900.0,1400.0,0.0,0.0,0.0
EH091,Syseye 10ml,HOP,DNAI,6.0,-45.0,0.0,2148.0,60.0,0.0,0.0
EH091,Syseye 10ml,HOP,DNANG,5.0,-10.0,0.0,680.0,600.0,0.0,0.0
EH091,Syseye 10ml,HOP,HCM,6.0,-365.0,0.0,8928.0,0.0,0.0,0.0
EH091,Syseye 10ml,HOP,HN,1.0,-43.0,0.0,1135.0,71.0,0.0,0.0
EH091,Syseye 10ml,HOP,KH,5.0,-25.0,300.0,505.0,0.0,0.0,0.0
EH091,Syseye 10ml,HOP,NA,2.0,0.0,0.0,628.0,0.0,0.0,0.0
EH092,Medoral 250ml,HOP,CT,7.0,-318.0,0.0,424.0,0.0,0.0,0.0
EH092,Medoral 250ml,HOP,DNAI,6.0,-1919.0,0.0,1923.0,400.0,0.0,0.0
EH092,Medoral 250ml,HOP,DNANG,5.0,-1550.0,0.0,1639.0,0.0,0.0,0.0
EH092,Medoral 250ml,HOP,HCM,6.0,-6289.0,5005.0,7087.0,0.0,0.0,0.0
EH092,Medoral 250ml,HOP,HN,1.0,-295.0,0.0,2893.0,0.0,0.0,0.0
EH092,Medoral 250ml,HOP,KH,5.0,-94.0,0.0,1306.0,0.0,0.0,0.0
EH092,Medoral 250ml,HOP,NA,2.0,0.0,0.0,3538.0,0.0,0.0,0.0
EH093,Efodyl 250mg,HOP,CT,7.0,0.0,0.0,131.0,0.0,0.0,0.0
EH093,Efodyl 250mg,HOP,DNAI,6.0,-32.0,0.0,169.0,0.0,0.0,0.0
EH093,Efodyl 250mg,HOP,DNANG,5.0,0.0,0.0,261.0,0.0,0.0,0.0
EH093,Efodyl 250mg,HOP,HCM,6.0,0.0,0.0,181.0,0.0,0.0,0.0
EH093,Efodyl 250mg,HOP,HN,1.0,-3.0,0.0,155.0,0.0,0.0,0.0
EH093,Efodyl 250mg,HOP,KH,5.0,0.0,0.0,193.0,0.0,0.0,0.0
EH093,Efodyl 250mg,HOP,NA,2.0,0.0,0.0,94.0,0.0,0.0,0.0
EH094,Meclonate,HOP,CT,7.0,0.0,200.0,0.0,60.0,0.0,0.0
EH094,Meclonate,HOP,DNAI,6.0,0.0,0.0,1071.0,450.0,0.0,0.0
EH094,Meclonate,HOP,DNANG,5.0,0.0,0.0,0.0,687.0,0.0,0.0
EH094,Meclonate,HOP,HCM,6.0,0.0,0.0,1212.0,0.0,0.0,0.0
EH094,Meclonate,HOP,HN,1.0,-6.0,0.0,0.0,555.0,0.0,0.0
EH094,Meclonate,HOP,KH,5.0,0.0,0.0,159.0,700.0,0.0,0.0
EH094,Meclonate,HOP,NA,2.0,0.0,0.0,664.0,760.0,0.0,0.0
EH095,Metiny 375mg,HOP,CT,7.0,0.0,160.0,44.0,150.0,0.0,0.0
EH095,Metiny 375mg,HOP,DNAI,6.0,0.0,100.0,79.0,10.0,0.0,0.0
EH095,Metiny 375mg,HOP,DNANG,5.0,-500.0,100.0,427.0,765.0,0.0,0.0
EH095,Metiny 375mg,HOP,HCM,6.0,0.0,160.0,5448.0,0.0,0.0,0.0
EH095,Metiny 375mg,HOP,HN,1.0,0.0,136.0,18.0,0.0,0.0,0.0
EH095,Metiny 375mg,HOP,KH,5.0,0.0,0.0,88.0,1660.0,0.0,0.0
EH095,Metiny 375mg,HOP,NA,2.0,0.0,0.0,87.0,0.0,0.0,0.0
EH096,Efodyl 125mg,HOP,CT,7.0,0.0,306.0,1.0,0.0,0.0,0.0
EH096,Efodyl 125mg,HOP,DNAI,6.0,-48.0,0.0,2306.0,0.0,0.0,0.0
EH096,Efodyl 125mg,HOP,DNANG,5.0,0.0,0.0,479.0,0.0,0.0,0.0
EH096,Efodyl 125mg,HOP,HCM,6.0,-60.0,0.0,913.0,0.0,0.0,0.0
EH096,Efodyl 125mg,HOP,HN,1.0,0.0,0.0,343.0,0.0,0.0,0.0
EH096,Efodyl 125mg,HOP,KH,5.0,-12.0,0.0,162.0,635.0,0.0,0.0
EH096,Efodyl 125mg,HOP,NA,2.0,0.0,0.0,191.0,0.0,0.0,0.0
EH097,Olevid 5ml,HOP,CT,7.0,0.0,0.0,304.0,100.0,0.0,0.0
EH097,Olevid 5ml,HOP,DNAI,6.0,0.0,0.0,934.0,110.0,0.0,0.0
EH097,Olevid 5ml,HOP,DNANG,5.0,-5.0,0.0,190.0,1045.0,0.0,0.0
EH097,Olevid 5ml,HOP,HCM,6.0,0.0,0.0,3161.0,0.0,0.0,0.0
EH097,Olevid 5ml,HOP,HN,1.0,-3.0,0.0,612.0,545.0,0.0,0.0
EH097,Olevid 5ml,HOP,KH,5.0,0.0,0.0,154.0,550.0,0.0,0.0
EH097,Olevid 5ml,HOP,NA,2.0,0.0,0.0,231.0,450.0,0.0,0.0
EH099,Vedanal Fort,HOP,CT,7.0,-11.0,1200.0,48.0,28.0,0.0,0.0
EH099,Vedanal Fort,HOP,DNAI,6.0,0.0,0.0,1313.0,560.0,0.0,0.0
EH099,Vedanal Fort,HOP,DNANG,5.0,0.0,0.0,1950.0,360.0,0.0,0.0
EH099,Vedanal Fort,HOP,HCM,6.0,-10.0,0.0,5458.0,0.0,0.0,0.0
EH099,Vedanal Fort,HOP,HN,1.0,-15.0,0.0,1139.0,555.0,0.0,0.0
EH099,Vedanal Fort,HOP,KH,5.0,0.0,0.0,118.0,480.0,0.0,0.0
EH099,Vedanal Fort,HOP,NA,2.0,0.0,0.0,653.0,1090.0,0.0,0.0
EH100,Efodyl 250mg (Gói),HOP,CT,7.0,0.0,0.0,398.0,0.0,0.0,0.0
EH100,Efodyl 250mg (Gói),HOP,DNAI,6.0,-12.0,192.0,190.0,0.0,0.0,0.0
EH100,Efodyl 250mg (Gói),HOP,DNANG,5.0,0.0,192.0,115.0,0.0,0.0,0.0
EH100,Efodyl 250mg (Gói),HOP,HCM,6.0,-5.0,384.0,76.0,0.0,0.0,0.0
EH100,Efodyl 250mg (Gói),HOP,HN,1.0,-2.0,0.0,156.0,0.0,0.0,0.0
EH100,Efodyl 250mg (Gói),HOP,KH,5.0,0.0,192.0,103.0,0.0,0.0,0.0
EH100,Efodyl 250mg (Gói),HOP,NA,2.0,0.0,0.0,132.0,0.0,0.0,0.0
EH101,Vitol 0.18%,HOP,CT,7.0,0.0,600.0,292.0,0.0,0.0,0.0
EH101,Vitol 0.18%,HOP,DNAI,6.0,0.0,600.0,211.0,600.0,0.0,0.0
EH101,Vitol 0.18%,HOP,DNANG,5.0,-5.0,0.0,937.0,0.0,0.0,0.0
EH101,Vitol 0.18%,HOP,HCM,6.0,0.0,0.0,862.0,0.0,0.0,0.0
EH101,Vitol 0.18%,HOP,HN,1.0,-55.0,0.0,346.0,0.0,0.0,0.0
EH101,Vitol 0.18%,HOP,KH,5.0,0.0,0.0,429.0,0.0,0.0,0.0
EH101,Vitol 0.18%,HOP,NA,2.0,0.0,0.0,369.0,0.0,0.0,0.0
EH102,Medoral 125ml,HOP,CT,7.0,-183.0,0.0,323.0,0.0,0.0,0.0
EH102,Medoral 125ml,HOP,DNAI,6.0,-44.0,800.0,68.0,0.0,0.0,0.0
EH102,Medoral 125ml,HOP,DNANG,5.0,-1108.0,1600.0,1200.0,0.0,0.0,0.0
EH102,Medoral 125ml,HOP,HCM,6.0,-390.0,3671.0,421.0,0.0,0.0,0.0
EH102,Medoral 125ml,HOP,HN,1.0,-99.0,0.0,475.0,0.0,0.0,0.0
EH102,Medoral 125ml,HOP,KH,5.0,-13.0,2000.0,15.0,0.0,0.0,0.0
EH102,Medoral 125ml,HOP,NA,2.0,0.0,0.0,1050.0,0.0,0.0,0.0
EH103,Cebest 200mg,HOP,CT,7.0,0.0,160.0,60.0,0.0,0.0,0.0
EH103,Cebest 200mg,HOP,DNAI,6.0,0.0,160.0,329.0,0.0,0.0,0.0
EH103,Cebest 200mg,HOP,DNANG,5.0,-10.0,0.0,1586.0,480.0,0.0,0.0
EH103,Cebest 200mg,HOP,HCM,6.0,-15.0,0.0,610.0,0.0,0.0,0.0
EH103,Cebest 200mg,HOP,HN,1.0,0.0,0.0,247.0,0.0,0.0,0.0
EH103,Cebest 200mg,HOP,KH,5.0,0.0,0.0,131.0,160.0,0.0,0.0
EH103,Cebest 200mg,HOP,NA,2.0,-2.0,0.0,256.0,0.0,0.0,0.0
EH104,Cebest 100mg,HOP,CT,7.0,0.0,0.0,208.0,0.0,0.0,0.0
EH104,Cebest 100mg,HOP,DNAI,6.0,0.0,0.0,177.0,0.0,0.0,0.0
EH104,Cebest 100mg,HOP,DNANG,5.0,0.0,0.0,115.0,1500.0,0.0,0.0
EH104,Cebest 100mg,HOP,HCM,6.0,0.0,0.0,149.0,0.0,0.0,0.0
EH104,Cebest 100mg,HOP,HN,1.0,0.0,0.0,217.0,338.0,0.0,0.0
EH104,Cebest 100mg,HOP,KH,5.0,0.0,0.0,179.0,290.0,0.0,0.0
EH104,Cebest 100mg,HOP,NA,2.0,0.0,0.0,187.0,0.0,0.0,0.0
EH105,Etobat 10ml,HOP,CT,7.0,0.0,0.0,282.0,0.0,0.0,0.0
EH105,Etobat 10ml,HOP,DNAI,6.0,0.0,0.0,603.0,0.0,0.0,0.0
EH105,Etobat 10ml,HOP,DNANG,5.0,-17.0,0.0,468.0,0.0,0.0,0.0
EH105,Etobat 10ml,HOP,HCM,6.0,0.0,0.0,583.0,0.0,0.0,0.0
EH105,Etobat 10ml,HOP,HN,1.0,0.0,0.0,190.0,0.0,0.0,0.0
EH105,Etobat 10ml,HOP,KH,5.0,0.0,0.0,305.0,0.0,0.0,0.0
EH105,Etobat 10ml,HOP,NA,2.0,0.0,0.0,79.0,0.0,0.0,0.0
EH106,Cebest 100 Gói,HOP,CT,7.0,0.0,0.0,147.0,65.0,0.0,0.0
EH106,Cebest 100 Gói,HOP,DNAI,6.0,-16.0,0.0,632.0,960.0,0.0,0.0
EH106,Cebest 100 Gói,HOP,DNANG,5.0,0.0,0.0,179.0,322.0,0.0,0.0
EH106,Cebest 100 Gói,HOP,HCM,6.0,0.0,0.0,1407.0,0.0,0.0,0.0
EH106,Cebest 100 Gói,HOP,HN,1.0,-222.0,0.0,94.0,204.0,0.0,0.0
EH106,Cebest 100 Gói,HOP,KH,5.0,0.0,0.0,83.0,1056.0,0.0,0.0
EH106,Cebest 100 Gói,HOP,NA,2.0,0.0,0.0,27.0,229.0,0.0,0.0
EH107,Stomex,HOP,CT,7.0,-14.0,0.0,411.0,0.0,0.0,0.0
EH107,Stomex,HOP,DNAI,6.0,-46.0,0.0,907.0,50.0,0.0,0.0
EH107,Stomex,HOP,DNANG,5.0,-5.0,0.0,1949.0,0.0,0.0,0.0
EH107,Stomex,HOP,HCM,6.0,-24.0,0.0,1493.0,0.0,0.0,0.0
EH107,Stomex,HOP,HN,1.0,-24.0,0.0,530.0,0.0,0.0,0.0
EH107,Stomex,HOP,KH,5.0,0.0,0.0,277.0,0.0,0.0,0.0
EH107,Stomex,HOP,NA,2.0,0.0,0.0,309.0,0.0,0.0,0.0
EH108,Meseca Fort,HOP,CT,7.0,-3.0,0.0,329.0,0.0,0.0,0.0
EH108,Meseca Fort,HOP,DNAI,6.0,-35.0,0.0,1465.0,0.0,0.0,0.0
EH108,Meseca Fort,HOP,DNANG,5.0,-30.0,0.0,1577.0,40.0,0.0,0.0
EH108,Meseca Fort,HOP,HCM,6.0,-22.0,0.0,1377.0,0.0,0.0,0.0
EH108,Meseca Fort,HOP,HN,1.0,-52.0,0.0,854.0,200.0,0.0,0.0
EH108,Meseca Fort,HOP,KH,5.0,-22.0,0.0,149.0,380.0,0.0,0.0
EH108,Meseca Fort,HOP,NA,2.0,0.0,0.0,405.0,0.0,0.0,0.0
EH109,Cebest 50 Gói,HOP,CT,7.0,0.0,102.0,148.0,20.0,0.0,0.0
EH109,Cebest 50 Gói,HOP,DNAI,6.0,-40.0,0.0,947.0,1009.0,0.0,0.0
EH109,Cebest 50 Gói,HOP,DNANG,5.0,0.0,0.0,687.0,1366.0,0.0,0.0
EH109,Cebest 50 Gói,HOP,HCM,6.0,0.0,0.0,3326.0,0.0,0.0,3060.0
EH109,Cebest 50 Gói,HOP,HN,1.0,0.0,0.0,626.0,387.0,0.0,0.0
EH109,Cebest 50 Gói,HOP,KH,5.0,0.0,0.0,44.0,1322.0,0.0,0.0
EH109,Cebest 50 Gói,HOP,NA,2.0,-204.0,0.0,172.0,312.0,0.0,0.0
EH110,Metoxa 10ml,HOP,CT,7.0,-10.0,0.0,187.0,85.0,0.0,0.0
EH110,Metoxa 10ml,HOP,DNAI,6.0,-2.0,0.0,192.0,0.0,0.0,0.0
EH110,Metoxa 10ml,HOP,DNANG,5.0,0.0,0.0,74.0,4.0,0.0,0.0
EH110,Metoxa 10ml,HOP,HCM,6.0,0.0,216.0,34.0,0.0,0.0,0.0
EH110,Metoxa 10ml,HOP,HN,1.0,0.0,0.0,4.0,164.0,0.0,0.0
EH110,Metoxa 10ml,HOP,KH,5.0,0.0,0.0,81.0,16.0,0.0,0.0
EH110,Metoxa 10ml,HOP,NA,2.0,-5.0,0.0,151.0,32.0,0.0,0.0
EH111,Aquima,HOP,CT,7.0,-298.0,0.0,427.0,3953.0,0.0,0.0
EH111,Aquima,HOP,DNAI,6.0,-118.0,10525.0,6009.0,1198.0,0.0,0.0
EH111,Aquima,HOP,DNANG,5.0,-28.0,0.0,3085.0,8770.0,0.0,0.0
EH111,Aquima,HOP,HCM,6.0,-30.0,2009.0,5050.0,0.0,0.0,7041.0
EH111,Aquima,HOP,HN,1.0,-51.0,0.0,638.0,559.0,0.0,0.0
EH111,Aquima,HOP,KH,5.0,-16.0,0.0,2080.0,7909.0,0.0,0.0
EH111,Aquima,HOP,NA,2.0,0.0,0.0,319.0,2130.0,0.0,0.0
EH112,Syseye 15ml,HOP,CT,7.0,0.0,1440.0,28.0,0.0,0.0,0.0
EH112,Syseye 15ml,HOP,DNAI,6.0,-30.0,960.0,1559.0,817.0,0.0,0.0
EH112,Syseye 15ml,HOP,DNANG,5.0,0.0,0.0,461.0,333.0,0.0,0.0
EH112,Syseye 15ml,HOP,HCM,6.0,-300.0,0.0,17476.0,0.0,0.0,0.0
EH112,Syseye 15ml,HOP,HN,1.0,0.0,0.0,60.0,275.0,0.0,0.0
EH112,Syseye 15ml,HOP,KH,5.0,0.0,0.0,1247.0,370.0,0.0,0.0
EH112,Syseye 15ml,HOP,NA,2.0,0.0,0.0,844.0,1912.0,0.0,0.0
EH113,Scofi 10ml,HOP,CT,7.0,0.0,0.0,1022.0,430.0,0.0,0.0
EH113,Scofi 10ml,HOP,DNAI,6.0,-5.0,600.0,587.0,37.0,0.0,0.0
EH113,Scofi 10ml,HOP,DNANG,5.0,-10.0,0.0,1698.0,2981.0,0.0,0.0
EH113,Scofi 10ml,HOP,HCM,6.0,0.0,0.0,1577.0,0.0,0.0,0.0
EH113,Scofi 10ml,HOP,HN,1.0,-10.0,0.0,465.0,1145.0,0.0,0.0
EH113,Scofi 10ml,HOP,KH,5.0,0.0,0.0,1530.0,1270.0,0.0,0.0
EH113,Scofi 10ml,HOP,NA,2.0,0.0,0.0,97.0,500.0,0.0,0.0
EH114,Fiora,HOP,CT,7.0,0.0,0.0,109.0,0.0,0.0,0.0
EH114,Fiora,HOP,DNAI,6.0,0.0,240.0,120.0,340.0,0.0,0.0
EH114,Fiora,HOP,DNANG,5.0,-5.0,0.0,445.0,10.0,0.0,0.0
EH114,Fiora,HOP,HCM,6.0,-5.0,0.0,334.0,0.0,0.0,0.0
EH114,Fiora,HOP,HN,1.0,-18.0,0.0,225.0,0.0,0.0,0.0
EH114,Fiora,HOP,KH,5.0,0.0,0.0,54.0,160.0,0.0,0.0
EH114,Fiora,HOP,NA,2.0,0.0,0.0,171.0,0.0,0.0,0.0
EH115,Ebysta 10ml gói,HOP,CT,7.0,-116.0,1400.0,225.0,0.0,0.0,0.0
EH115,Ebysta 10ml gói,HOP,DNAI,6.0,-76.0,0.0,1543.0,800.0,0.0,0.0
EH115,Ebysta 10ml gói,HOP,DNANG,5.0,-80.0,0.0,2533.0,35.0,0.0,0.0
EH115,Ebysta 10ml gói,HOP,HCM,6.0,-3191.0,0.0,12425.0,0.0,0.0,0.0
EH115,Ebysta 10ml gói,HOP,HN,1.0,-149.0,0.0,822.0,92.0,0.0,0.0
EH115,Ebysta 10ml gói,HOP,KH,5.0,-33.0,0.0,2021.0,30.0,0.0,0.0
EH115,Ebysta 10ml gói,HOP,NA,2.0,0.0,0.0,1002.0,0.0,0.0,0.0
EH116,Mepatyl,HOP,CT,7.0,0.0,216.0,185.0,0.0,0.0,0.0
EH116,Mepatyl,HOP,DNAI,6.0,-2.0,0.0,393.0,0.0,0.0,0.0
EH116,Mepatyl,HOP,DNANG,5.0,0.0,0.0,131.0,0.0,0.0,0.0
EH116,Mepatyl,HOP,HCM,6.0,-20.0,0.0,353.0,0.0,0.0,0.0
EH116,Mepatyl,HOP,HN,1.0,-49.0,0.0,274.0,0.0,0.0,0.0
